K,Average Time (ms)
2,296
3,220
4,210
5,170
6,169
7,170
8,158
9,140
10,139
11,139
12,140
13,139
14,139
15,139
16,126
17,118
18,118
19,119
20,118
21,118
22,119
23,118
24,119
25,118
26,118
27,118
28,118
29,119
30,119
31,111
32,103
33,103
34,103
35,103
36,103
37,103
38,103
39,104
40,103
41,103
42,103
43,103
44,103
45,103
46,103
47,103
48,104
49,103
50,103
51,103
52,103
53,103
54,103
55,104
56,105
57,105
58,103
59,103
60,103
61,103
62,92
63,92
64,92
65,92
66,93
67,92
68,92
69,92
70,92
71,92
72,92
73,92
74,92
75,93
76,92
77,92
78,92
79,93
80,98
81,93
82,92
83,115
84,100
85,110
86,97
87,99
88,100
89,100
90,99
91,97
92,99
93,97
94,99
95,93
96,92
97,92
98,92
99,92
